,NO2_SC_molec/cm^2,NO2_Con_molec/cm^3,Data_set_NO,NO2_std_err
77,9.488468965667861e+16,9488468965667860.0,77,1058530870262123.0
78,9.525431349124726e+16,9525431349124726.0,78,1062975710594992.2
79,9.654350361128957e+16,9654350361128956.0,79,1079697868875383.8
80,9.640824732447266e+16,9640824732447266.0,80,1073093838858906.5
81,9.762068114388054e+16,9762068114388054.0,81,1093748501161268.6
82,9.741767893468805e+16,9741767893468804.0,82,1095923466377863.1
83,9.725998446937242e+16,9725998446937242.0,83,1088087054884699.6
84,9.623766769719846e+16,9623766769719846.0,84,1089575173784021.0
85,9.33661876907171e+16,9336618769071710.0,85,1053128956502922.0
86,9.296904015117933e+16,9296904015117932.0,86,1047395223454239.9
87,9.264923545833926e+16,9264923545833926.0,87,1044654108039399.9
88,9.30373417786026e+16,9303734177860260.0,88,1047488254286052.9
89,9.231502604765194e+16,9231502604765194.0,89,1043818761953405.9
90,9.302469601412584e+16,9302469601412584.0,90,1051727672398426.0
91,9.289805631701202e+16,9289805631701202.0,91,1043237971481635.4
92,9.282164944437275e+16,9282164944437276.0,92,1046397599079464.4
93,9.245467336133317e+16,9245467336133316.0,93,1040985617169505.9
94,9.08972345029128e+16,9089723450291280.0,94,1020970491704984.8
95,9.042756223315845e+16,9042756223315844.0,95,1015164098648864.4
96,8.935982191993378e+16,8935982191993378.0,96,1008495866727507.5
97,8.948746613118443e+16,8948746613118443.0,97,1010795806740804.1
98,8.999267981118035e+16,8999267981118035.0,98,1035827025806940.4
99,9.095801025792315e+16,9095801025792316.0,99,1026182644621277.0
